job_id,title,organization,locations,url,posted_at
845061600,Auditor - Multiple Directorates & Locations,"Office of the Inspector General, USPS","Denver, Colorado, Carol Stream, Illinois, Woburn, Massachusetts, Bethesda, Maryland, Saint Charles, Missouri, Warrendale, Pennsylvania, Arlington, Virginia",https://www.usajobs.gov/job/845061600,2025-09-04T14:54:46.523000
845061200,Auditor - Multiple Directorates & Locations,"Office of the Inspector General, USPS","Denver, Colorado, Carol Stream, Illinois, Woburn, Massachusetts, Bethesda, Maryland, Saint Charles, Missouri, Warrendale, Pennsylvania, Arlington, Virginia",https://www.usajobs.gov/job/845061200,2025-09-04T14:53:57.997000
845058900,"Student Cooperative - Office of Audit - Retail, Sales, Network Ops, Strategic, and Audit Services","Office of the Inspector General, USPS","Denver, Colorado, Carol Stream, Illinois, Woburn, Massachusetts, Bethesda, Maryland, Arlington, Virginia",https://www.usajobs.gov/job/845058900,2025-09-04T14:46:32.983000
844989100,IT Cybersecurity Specialist (NET/INF),U.S. Secret Service,"Washington, District of Columbia",https://www.usajobs.gov/job/844989100,2025-09-04T09:26:50.510000
844951300,Supervisory IT Specialist (ENTARCH),Deputy Assistant Secretary for Information and Technology,"Frederick, Maryland",https://www.usajobs.gov/job/844951300,2025-09-04T00:00:00
844877700,IT CYBERSECURITY SPECIALIST (CUSTSPT/INFOSEC),Defense Information Systems Agency,"Mechanicsburg, Pennsylvania",https://www.usajobs.gov/job/844877700,2025-09-04T00:00:00
844869800,Stokes Educational Scholarship Program - STEM (Maryland),National Security Agency/Central Security Service,"Fort Meade, Maryland",https://www.usajobs.gov/job/844869800,2025-09-03T10:00:00.783000
844866400,NSA Summer 2026 Internship Program,National Security Agency/Central Security Service,"Denver, Colorado, Fort Gordon, Georgia, Kunia, Hawaii, San Antonio, Texas, Draper, Utah",https://www.usajobs.gov/job/844866400,2025-09-03T09:46:10.470000
844866400,NSA Summer 2026 Internship Program,National Security Agency/Central Security Service,"Denver, Colorado, Fort Gordon, Georgia, Kunia, Hawaii, San Antonio, Texas, Draper, Utah",https://www.usajobs.gov/job/844866400,2025-09-03T09:46:10.470000
844850400,SUPV IT SPEC (SYSANALYSIS),Defense Human Resources Activity,"Seaside, California, Alexandria, Virginia",https://www.usajobs.gov/job/844850400,2025-09-03T07:15:27.520000
844850400,SUPV IT SPEC (SYSANALYSIS),Defense Human Resources Activity,"Seaside, California, Alexandria, Virginia",https://www.usajobs.gov/job/844850400,2025-09-03T07:15:27.520000
844585600,IT Cybersecurity Specialist (APPSW),U.S. Army Intelligence and Security Command,"Fort Meade, Maryland",https://www.usajobs.gov/job/844585600,2025-09-03T06:15:25.943000
844842800,IT Cybersecurity Specialist (Customer Support/Information Security),U.S. Coast Guard,"Portsmouth, Virginia",https://www.usajobs.gov/job/844842800,2025-09-03T00:00:00
844801000,IT Cybersecurity Specialist (ENTARCH/PLCYPLN),U.S. Secret Service,"Washington, District of Columbia",https://www.usajobs.gov/job/844801000,2025-09-03T00:00:00
844799000,IT Cybersecurity Specialist (ENTARCH/PLCYPLN),U.S. Secret Service,"Washington, District of Columbia",https://www.usajobs.gov/job/844799000,2025-09-03T00:00:00
844740500,IT CYBERSECURITY SPECIALIST (ENTARCH/INFOSEC),Defense Information Systems Agency,"Fort Meade, Maryland",https://www.usajobs.gov/job/844740500,2025-09-03T00:00:00
844453700,Supervisory IT Cybersecurity Specialist (APPSW),U.S. Army Intelligence and Security Command,"Fort Meade, Maryland",https://www.usajobs.gov/job/844453700,2025-09-03T00:00:00
844835200,NSA Summer 2026 STEM Internship Programs - Maryland,National Security Agency/Central Security Service,"Fort Meade, Maryland",https://www.usajobs.gov/job/844835200,2025-09-02T17:07:27.593000
844833000,NSA 2026 Summer Language Program - Maryland and Hawaii,National Security Agency/Central Security Service,"Honolulu, Hawaii, Fort Meade, Maryland",https://www.usajobs.gov/job/844833000,2025-09-02T16:54:19.407000
844828600,Research Physicist / Engineering and Physical Sciences Researcher - Experienced to Expert Level (MD),National Security Agency/Central Security Service,"Fort Meade, Maryland",https://www.usajobs.gov/job/844828600,2025-09-02T16:28:22.590000
844817800,NSA 2026 Intelligence Analysis Summer Internship Program - Maryland and Hawaii,National Security Agency/Central Security Service,"Honolulu, Hawaii, Fort Meade, Maryland",https://www.usajobs.gov/job/844817800,2025-09-02T15:25:39.347000
844815200,"Cybersecurity Specialist, SLD 45/SC",Space Systems Command,"Patrick AFB, Florida",https://www.usajobs.gov/job/844815200,2025-09-02T15:07:37.537000
844811200,IT Specialist (APPLICATIONS SOFTWARE),Defense Logistics Agency,"Battle Creek, Michigan, Whitehall, Ohio, Wright-Patterson AFB, Ohio, New Cumberland Defense Logistics Center, Pennsylvania, Philadelphia, Pennsylvania, Hill AFB, Utah, Fort Belvoir, Virginia, Richmond, Virginia",https://www.usajobs.gov/job/844811200,2025-09-02T14:51:36.123000
844807100,Supervisory IT Specialist (SYSADMIN),Bonneville Power Administration,"Portland, Oregon",https://www.usajobs.gov/job/844807100,2025-09-02T14:34:27.080000
844807400,Supervisory IT Specialist (SYSADMIN),Bonneville Power Administration,"Portland, Oregon",https://www.usajobs.gov/job/844807400,2025-09-02T14:34:11.880000
844806200,Supervisory IT Specialist (SYSANALYSIS/APPSW),Bonneville Power Administration,"Portland, Oregon, Vancouver, Washington",https://www.usajobs.gov/job/844806200,2025-09-02T14:31:33.447000
844806200,Supervisory IT Specialist (SYSANALYSIS/APPSW),Bonneville Power Administration,"Portland, Oregon, Vancouver, Washington",https://www.usajobs.gov/job/844806200,2025-09-02T14:31:33.447000
844806300,Supervisory IT Specialist (SYSANALYSIS/APPSW),Bonneville Power Administration,"Portland, Oregon, Vancouver, Washington",https://www.usajobs.gov/job/844806300,2025-09-02T14:31:12.690000
844806300,Supervisory IT Specialist (SYSANALYSIS/APPSW),Bonneville Power Administration,"Portland, Oregon, Vancouver, Washington",https://www.usajobs.gov/job/844806300,2025-09-02T14:31:12.690000
844806000,NSA Summer 2026 Corporate Operations Internship Programs - Maryland,National Security Agency/Central Security Service,"Fort Meade, Maryland",https://www.usajobs.gov/job/844806000,2025-09-02T14:30:12.363000
844775400,Supervisory IT Specialist,Deputy Assistant Secretary for Information and Technology,"Newington, Connecticut",https://www.usajobs.gov/job/844775400,2025-09-02T11:30:02.707000
844756600,SUPERVISORY IT PROJECT MANAGER (INFOSEC),Defense Information Systems Agency,"Letterkenny Army Depot, Pennsylvania",https://www.usajobs.gov/job/844756600,2025-09-02T09:34:27.867000
844748700,Cooperative Education Program,National Security Agency/Central Security Service,"Fort Meade, Maryland",https://www.usajobs.gov/job/844748700,2025-09-02T08:39:43.627000
844776100,IT Cybersecurity Specialist (NET/INF),U.S. Secret Service,"Washington, District of Columbia",https://www.usajobs.gov/job/844776100,2025-09-02T00:00:00
844703200,Supervisory IT Cybersecurity Specialist (Policy and Planning/Information Security),U.S. Coast Guard,"Kearneysville, West Virginia",https://www.usajobs.gov/job/844703200,2025-09-02T00:00:00
844689700,Lead Biomedical Equipment Support Specialist,Veterans Health Administration,"Johnson City, Tennessee",https://www.usajobs.gov/job/844689700,2025-09-02T00:00:00
844675400,Avionics Specialist,U.S. Coast Guard,"Washington, District of Columbia",https://www.usajobs.gov/job/844675400,2025-09-02T00:00:00
844675400,Avionics Specialist,U.S. Coast Guard,"Washington, District of Columbia",https://www.usajobs.gov/job/844675400,2025-09-02T00:00:00
844666700,SUPERVISORY INFORMATION TECHNOLOGY SPECIALIST,Naval Facilities Engineering Systems Command,"Washington Navy Yard, District of Columbia",https://www.usajobs.gov/job/844666700,2025-09-02T00:00:00
844653900,IT Cybersecurity Specialist (Customer Support/Information Security),U.S. Coast Guard,"Kearneysville, West Virginia",https://www.usajobs.gov/job/844653900,2025-09-02T00:00:00
844643200,INFORMATION TECHNOLOGY CYBERSECURITY SPECIALIST (INFOSEC),Naval Sea Systems Command,"Panama City, Florida",https://www.usajobs.gov/job/844643200,2025-09-02T00:00:00
844479700,IT CYBERSECURITY SPECIALIST (SYSANALYSIS/INFOSEC),Defense Information Systems Agency,"Arlington, Virginia",https://www.usajobs.gov/job/844479700,2025-09-02T00:00:00
844402200,IT SPECIALIST (SYSADMIN),"Commander, Navy Installations","Pearl Harbor, Hawaii",https://www.usajobs.gov/job/844402200,2025-09-02T00:00:00
844723600,ITSPEC (PLCYPLN),Air National Guard Units,"Cheyenne, Wyoming",https://www.usajobs.gov/job/844723600,2025-08-29T16:14:05.630000
844713600,Biomedical Equipment Support Specialist,Veterans Health Administration,"Hampton, Virginia",https://www.usajobs.gov/job/844713600,2025-08-29T14:35:47.760000
844713100,Biomedical Equipment Support Specialist,Veterans Health Administration,"Hampton, Virginia",https://www.usajobs.gov/job/844713100,2025-08-29T14:33:24.757000
844686300,IT SPECIALIST (DATAMGT),"Commander, Navy Installations","Pearl Harbor, Hawaii",https://www.usajobs.gov/job/844686300,2025-08-29T11:44:28.660000
844686300,IT SPECIALIST (DATAMGT),"Commander, Navy Installations","Pearl Harbor, Hawaii",https://www.usajobs.gov/job/844686300,2025-08-29T11:44:28.660000
844564900,IT CYBERSECURITY SPECIALIST (NETWORK/INFOSEC),Defense Information Systems Agency,"Scott AFB, Illinois, Hill AFB, Utah",https://www.usajobs.gov/job/844564900,2025-08-29T10:12:16.737000
844664700,Supervisory Information Technology Specialist,U.S. Trustee Program,"Salt Lake City, Utah, Seattle, Washington, Phoenix, Arizona, Los Angeles, California, San Francisco, California, Denver, Colorado, Washington, District of Columbia, Miami, Florida, Atlanta, Georgia, Chicago, Illinois, Indianapolis, Indiana, New Orleans, Louisiana, Boston, Massachusetts, Minneapolis, Minnesota, Kansas City, Missouri, Albuquerque, New Mexico, New York, New York, Oklahoma City, Oklahoma, Portland, Oregon, Austin, Texas",https://www.usajobs.gov/job/844664700,2025-08-29T09:13:10.087000
844640900,Biomedical Equipment Support Specialist  (BESS),Veterans Health Administration,"Fresno, California",https://www.usajobs.gov/job/844640900,2025-08-29T00:00:00
844622100,UNIT PROGRAM COORDINATOR,United States Space Force,"Peterson AFB, Colorado",https://www.usajobs.gov/job/844622100,2025-08-29T00:00:00
844612300,SUPERVISORY TECHNICIAN,Naval Sea Systems Command,"Port Hueneme, California",https://www.usajobs.gov/job/844612300,2025-08-29T00:00:00
844451100,IT CYBERSECURITY SPECIALIST (CUSTSPT/INFOSEC),Defense Information Systems Agency,"Pentagon, Arlington, Virginia",https://www.usajobs.gov/job/844451100,2025-08-29T00:00:00
844633200,SUPERVISORY IT SPECIALIST (PLCYPLN),Defense Human Resources Activity,"Seaside, California, Alexandria, Virginia",https://www.usajobs.gov/job/844633200,2025-08-28T16:09:40.013000
844571900,Health Science Specialist,Veterans Health Administration,"New York, New York",https://www.usajobs.gov/job/844571900,2025-08-28T00:00:00
844521200,IT CYBERSECURITY SPECIALIST (INFOSEC),Defense Information Systems Agency,"Pentagon, Arlington, Virginia",https://www.usajobs.gov/job/844521200,2025-08-28T00:00:00
844453800,INFORMATION TECHNOLOGY SPECIALIST (INFOSEC),U.S. Pacific Fleet,"Pearl Harbor, Hawaii",https://www.usajobs.gov/job/844453800,2025-08-28T00:00:00
844495200,Auditor (Info Sys) - IT Operations Directorate,"Office of the Inspector General, USPS","Raleigh, North Carolina",https://www.usajobs.gov/job/844495200,2025-08-27T15:40:04.857000
844495200,Auditor (Info Sys) - IT Operations Directorate,"Office of the Inspector General, USPS","Raleigh, North Carolina",https://www.usajobs.gov/job/844495200,2025-08-27T15:40:04.857000
844423700,DATA SCIENTIST,"Air Force Elements, U.S. Transportation Command","Scott AFB, Illinois",https://www.usajobs.gov/job/844423700,2025-08-27T13:55:50.700000
844423700,DATA SCIENTIST,"Air Force Elements, U.S. Transportation Command","Scott AFB, Illinois",https://www.usajobs.gov/job/844423700,2025-08-27T13:55:50.700000
844414300,HR SPEC (MILITARY) (Title 5),Air National Guard Units,"Fort Smith, Arkansas",https://www.usajobs.gov/job/844414300,2025-08-27T09:07:39.607000
844409400,Biomedical Equipment Support Specialist (Imaging),Veterans Health Administration,"Wilmington, Delaware",https://www.usajobs.gov/job/844409400,2025-08-27T08:49:03.320000
844409400,Biomedical Equipment Support Specialist (Imaging),Veterans Health Administration,"Wilmington, Delaware",https://www.usajobs.gov/job/844409400,2025-08-27T08:49:03.320000
844408400,Biomedical Equipment Support Specialist (Imaging),Veterans Health Administration,"Wilmington, Delaware",https://www.usajobs.gov/job/844408400,2025-08-27T08:41:25.047000
844402900,Biomedical Equipment Support Specialist (Info Systems),Veterans Health Administration,"Kansas City, Missouri",https://www.usajobs.gov/job/844402900,2025-08-27T08:00:45.550000
844402900,Biomedical Equipment Support Specialist (Info Systems),Veterans Health Administration,"Kansas City, Missouri",https://www.usajobs.gov/job/844402900,2025-08-27T08:00:45.550000
844402300,Biomedical Equipment Support Specialist (Info Systems),Veterans Health Administration,"Kansas City, Missouri",https://www.usajobs.gov/job/844402300,2025-08-27T07:53:28.567000
844402300,Biomedical Equipment Support Specialist (Info Systems),Veterans Health Administration,"Kansas City, Missouri",https://www.usajobs.gov/job/844402300,2025-08-27T07:53:28.567000
844447400,MANAGER,Naval Sea Systems Command,"Crane, Indiana",https://www.usajobs.gov/job/844447400,2025-08-27T00:00:00
844433300,IT Specialist (INFOSEC/PLCYPLN),Joint Activities,"Stuttgart, Germany",https://www.usajobs.gov/job/844433300,2025-08-27T00:00:00
844433300,IT Specialist (INFOSEC/PLCYPLN),Joint Activities,"Stuttgart, Germany",https://www.usajobs.gov/job/844433300,2025-08-27T00:00:00
844377900,Supervisory IT Cybersecurity Specialist (Policy and Planning),Federal Law Enforcement Training Centers,"Glynco, Georgia",https://www.usajobs.gov/job/844377900,2025-08-27T00:00:00
844258400,ENGINEER/SCIENTIST,Naval Sea Systems Command,"Panama City Naval Surface Warfare Center, Florida",https://www.usajobs.gov/job/844258400,2025-08-26T11:07:41.480000
844100200,IT CYBERSECURITY SPECIALIST (APPSW),Defense Finance and Accounting Service,"Indianapolis, Indiana, Cleveland, Ohio, Columbus, Ohio",https://www.usajobs.gov/job/844100200,2025-08-25T00:00:00
844087800,IT CYBERSECURITY SPECIALIST (APPSW),Defense Finance and Accounting Service,"Indianapolis, Indiana",https://www.usajobs.gov/job/844087800,2025-08-25T00:00:00
844112100,Information Technology Specialist (SECURITY) - Direct Hiring Authority,Air Force Materiel Command,"Eglin AFB, Florida",https://www.usajobs.gov/job/844112100,2025-08-22T13:27:00.223000
844112100,Information Technology Specialist (SECURITY) - Direct Hiring Authority,Air Force Materiel Command,"Eglin AFB, Florida",https://www.usajobs.gov/job/844112100,2025-08-22T13:27:00.223000
844098300,PUBLIC NOTICE for IT Cyber Security Specialist (INFOSEC) (Direct Hire),Transportation Security Administration,"Colorado Springs, Colorado, Annapolis Junction, Maryland",https://www.usajobs.gov/job/844098300,2025-08-22T12:00:50.993000
844098300,PUBLIC NOTICE for IT Cyber Security Specialist (INFOSEC) (Direct Hire),Transportation Security Administration,"Colorado Springs, Colorado, Annapolis Junction, Maryland",https://www.usajobs.gov/job/844098300,2025-08-22T12:00:50.993000
844091500,Police Officer,Pentagon Force Protection Agency,"Adams County, Pennsylvania, Alexandria, Virginia, Pentagon, Arlington, Virginia",https://www.usajobs.gov/job/844091500,2025-08-22T11:21:41.010000
844057300,IT CYBERSECURITY SPECIALIST ( NETWORK/INFOSEC),Defense Finance and Accounting Service,"Bratenahl, Ohio",https://www.usajobs.gov/job/844057300,2025-08-22T00:00:00
844016000,INTELLIGENCE SPECIALIST - ALTERNATE HIRE AUTHORITY,Air Force Materiel Command,"Tinker AFB, Oklahoma",https://www.usajobs.gov/job/844016000,2025-08-22T00:00:00
843973800,IT CYBERSECURITY SPECIALIST (DATAMGT/INFOSEC),Defense Finance and Accounting Service,"Indianapolis, Indiana",https://www.usajobs.gov/job/843973800,2025-08-22T00:00:00
843930200,"IT CYBER SPEC (APPSW), GS-2210-12 (DIRECT HIRE)",U.S. Coast Guard,"Elizabeth City, North Carolina",https://www.usajobs.gov/job/843930200,2025-08-21T08:00:21.333000
843681400,Information Technology Specialist (INFOSEC),Defense Media Activity,"Fort Meade, Maryland",https://www.usajobs.gov/job/843681400,2025-08-19T06:52:03.800000
843536000,INFORMATION TECHNOLOGY SPECIALIST (INFOSEC)-Direct Hire Authority,Air Force Materiel Command,"Eglin AFB, Florida",https://www.usajobs.gov/job/843536000,2025-08-18T06:49:13.650000
843533400,Biomedical Equipment Support Specialist (Imaging),Veterans Health Administration,"Portland, Oregon",https://www.usajobs.gov/job/843533400,2025-08-15T14:00:14.343000
843532600,Biomedical Equipment Support Specialist (Imaging),Veterans Health Administration,"Portland, Oregon",https://www.usajobs.gov/job/843532600,2025-08-15T13:57:51.970000
843532600,Biomedical Equipment Support Specialist (Imaging),Veterans Health Administration,"Portland, Oregon",https://www.usajobs.gov/job/843532600,2025-08-15T13:57:51.970000
843472000,IT CYBERSECURITY SPECIALIST (INFOSEC),Air National Guard Units,"McGuire AFB, New Jersey",https://www.usajobs.gov/job/843472000,2025-08-15T09:27:02.703000
843438000,INFORMATION TECHNOLOGY SPECIALIST (PLCYPLN/INFOSEC),Space Systems Command,"Kirtland AFB, New Mexico",https://www.usajobs.gov/job/843438000,2025-08-15T00:00:00
843438000,INFORMATION TECHNOLOGY SPECIALIST (PLCYPLN/INFOSEC),Space Systems Command,"Kirtland AFB, New Mexico",https://www.usajobs.gov/job/843438000,2025-08-15T00:00:00
843347400,Electronics Engineer (Industrial Controls),Defense Logistics Agency,"New Cumberland Defense Logistics Center, Pennsylvania",https://www.usajobs.gov/job/843347400,2025-08-13T00:00:00
843347400,Electronics Engineer (Industrial Controls),Defense Logistics Agency,"New Cumberland Defense Logistics Center, Pennsylvania",https://www.usajobs.gov/job/843347400,2025-08-13T00:00:00
843285900,Information Technology Specialist (INFOSEC) (Direct Hire),Internal Revenue Service,"Fresno, California, Washington, District of Columbia, Jacksonville, Florida, Chamblee, Georgia, Chamblee, Georgia, Fairview Heights, Illinois, Covington, Kentucky, Lanham, Maryland, Detroit, Michigan, Kansas City, Missouri, Saint Louis, Missouri, Charlotte, North Carolina, Holtsville, New York, Philadelphia, Pennsylvania, Guaynabo, Puerto Rico, San Juan, Puerto Rico, Memphis, Tennessee, Austin, Texas, Austin, Texas, Farmers Branch, Texas, Ogden, Utah, Kearneysville, West Virginia",https://www.usajobs.gov/job/843285900,2025-08-13T00:00:00
843035900,IT CYBERSECURITY SPECIALIST (INFOSEC)-DIRECT HIRE AUTHORITY,Air Force Materiel Command,"Eglin AFB, Florida, Hanscom AFB, Massachusetts, Kirtland AFB, New Mexico, Tinker AFB, Oklahoma, Hill AFB, Utah",https://www.usajobs.gov/job/843035900,2025-08-11T00:00:00
842719900,Biomedical Equipment Support Specialist,Veterans Health Administration,"Billings, Montana",https://www.usajobs.gov/job/842719900,2025-08-07T00:00:00
842719200,Biomedical Equipment Support Specialist,Veterans Health Administration,"Billings, Montana",https://www.usajobs.gov/job/842719200,2025-08-07T00:00:00
